
             SystemC 2.2.0 --- Apr 17 2012 15:58:44
 <--> BUS TRANSACTION: WRITE 0xE3A0DCFD @0x118 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE321F0D2 @0x11C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A0DB3F @0x120 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE321F0D7 @0x124 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A0DCFB @0x128 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE321F0DB @0x12C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A0DCFA @0x130 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE321F01F @0x134 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEA000000 @0x138 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1B0F00E @0x13C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEB00002A @0x140 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEB000011 @0x144 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEB000078 @0x148 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEB000001 @0x14C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE321F010 @0x150 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59FF024 @0x154 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4000 @0x158 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE28F0008 @0x15C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A01009 @0x160 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEB000094 @0x164 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD8000 @0x168 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x746F6F42 @0x16C (bootmem)
 <--> BUS TRANSACTION: WRITE 0x2E6B6F20 @0x170 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xA @0x174 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x178 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x17C (bootmem)
 <--> BUS TRANSACTION: WRITE 0x12E4 @0x180 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x184 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x188 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x18C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F1050 @0x190 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00041 @0x194 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810000 @0x198 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00000 @0x19C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810004 @0x1A0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00FFA @0x1A4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810010 @0x1A8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00001 @0x1AC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE581000C @0x1B0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A02030 @0x1B4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00000 @0x1B8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5820000 @0x1BC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A0F00E @0x1C0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4000 @0x1C4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00001 @0x1C8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F1014 @0x1CC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810008 @0x1D0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00030 @0x1D4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5901000 @0x1D8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE2811001 @0x1DC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5801000 @0x1E0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD8000 @0x1E4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x53FA0000 @0x1E8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x1EC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F1058 @0x1F0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0222002 @0x1F4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE2420001 @0x1F8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810080 @0x1FC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810084 @0x200 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810088 @0x204 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE581008C @0x208 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00000 @0x20C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810100 @0x210 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00080 @0x214 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810104 @0x218 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00000 @0x21C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810108 @0x220 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE581010C @0x224 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5910424 @0x228 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3C004FF @0x22C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A02001 @0x230 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1800C02 @0x234 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810424 @0x238 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0200000 @0x23C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE581000C @0x240 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00001 @0x244 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810000 @0x248 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A0F00E @0x24C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xFFFC000 @0x250 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24EE004 @0x254 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4000 @0x258 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE14FE000 @0x25C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D5FFF @0x260 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEBFFFFD6 @0x264 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD5FFF @0x268 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE169F00E @0x26C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8FD8000 @0x270 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xFFFC000 @0x274 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x278 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x27C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D47F0 @0x280 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE14FE000 @0x284 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4000 @0x288 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE321F01F @0x28C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3570004 @0x290 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xB000018 @0x294 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3570003 @0x298 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xB00001B @0x29C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE357004E @0x2A0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xB000007 @0x2A4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE357004F @0x2A8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xB00000B @0x2AC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3570000 @0x2B0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xB00000F @0x2B4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE321F0D3 @0x2B8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD4000 @0x2BC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE169F00E @0x2C0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8FD87F0 @0x2C4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4010 @0x2C8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A04030 @0x2CC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5944000 @0x2D0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5804000 @0x2D4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00000 @0x2D8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD8010 @0x2DC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4010 @0x2E0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5904000 @0x2E4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00030 @0x2E8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5804000 @0x2EC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00000 @0x2F0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD8010 @0x2F4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEAFFFFFE @0x2F8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4000 @0x2FC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00001 @0x300 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A01002 @0x304 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEB00002B @0x308 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD8000 @0x30C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4000 @0x310 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00001 @0x314 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A01002 @0x318 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEB000013 @0x31C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD8000 @0x320 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x324 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x328 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x32C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00001 @0x330 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F10B8 @0x334 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810080 @0x338 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F00B4 @0x33C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810084 @0x340 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F00B0 @0x344 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810088 @0x348 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A00B1F @0x34C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE581008C @0x350 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F00A4 @0x354 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5810090 @0x358 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F00A0 @0x35C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE58100A4 @0x360 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F009C @0x364 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE58100A8 @0x368 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A0F00E @0x36C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D5FF0 @0x370 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3510000 @0x374 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xA00000D @0x378 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A04000 @0x37C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F206C @0x380 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5923098 @0x384 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3130001 @0x388 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xAFFFFFC @0x38C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5923000 @0x390 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE20330FF @0x394 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE7C03004 @0x398 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE2844001 @0x39C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE353000A @0x3A0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xA000002 @0x3A4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1510004 @0x3A8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x9A000000 @0x3AC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEAFFFFF3 @0x3B0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00004 @0x3B4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD9FF0 @0x3B8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D47F0 @0x3BC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A02000 @0x3C0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F3028 @0x3C4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1520001 @0x3C8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xA000007 @0x3CC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5934094 @0x3D0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3140A01 @0x3D4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x1AFFFFFC @0x3D8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5D05000 @0x3DC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5835040 @0x3E0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE2800001 @0x3E4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE2822001 @0x3E8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEAFFFFF5 @0x3EC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD87F0 @0x3F0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x53FBC000 @0x3F4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x2127 @0x3F8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x704 @0x3FC (bootmem)
 <--> BUS TRANSACTION: WRITE 0x89E @0x400 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x8FF @0x404 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xC34 @0x408 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00000 @0x40C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4800 @0x410 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE28DB004 @0x414 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24DD008 @0x418 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24B300C @0x41C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00003 @0x420 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE3A01000 @0x424 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEB00063A @0x428 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE51B300C @0x42C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00003 @0x430 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24BD004 @0x434 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD8800 @0x438 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4800 @0x43C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE28DB004 @0x440 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24DD018 @0x444 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE50B0018 @0x448 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24B200C @0x44C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24B3014 @0x450 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00002 @0x454 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A01003 @0x458 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEB00062D @0x45C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE51B3018 @0x460 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE50B300C @0x464 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24B200C @0x468 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24B3014 @0x46C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A00002 @0x470 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A01003 @0x474 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEB00062A @0x478 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24BD004 @0x47C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD8800 @0x480 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4810 @0x484 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE28DB008 @0x488 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24DD014 @0x48C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE50B0018 @0x490 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE50B101C @0x494 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEBFFFFDC @0x498 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A03000 @0x49C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE50B3014 @0x4A0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE51B3014 @0x4A4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F1068 @0x4A8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0C20391 @0x4AC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0822003 @0x4B0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A025C2 @0x4B4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A03FC3 @0x4B8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0632002 @0x4BC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F1054 @0x4C0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0C30291 @0x4C4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A01143 @0x4C8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A03FC2 @0x4CC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0631001 @0x4D0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A03001 @0x4D4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A03083 @0x4D8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0833001 @0x4DC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A03183 @0x4E0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0633002 @0x4E4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE50B3010 @0x4E8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE51B301C @0x4EC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5934000 @0x4F0 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE51B0018 @0x4F4 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE51B1010 @0x4F8 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEB000225 @0x4FC (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A03000 @0x500 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0842003 @0x504 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE51B301C @0x508 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE5832000 @0x50C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24BD008 @0x510 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE8BD8810 @0x514 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x91A2B3C5 @0x518 (bootmem)
 <--> BUS TRANSACTION: WRITE 0x2AAAAAAB @0x51C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE92D4810 @0x520 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE28DB008 @0x524 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE24DD014 @0x528 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE50B0018 @0x52C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE50B101C @0x530 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xEBFFFFB5 @0x534 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A03000 @0x538 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE50B3014 @0x53C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE51B3014 @0x540 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F1068 @0x544 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0C20391 @0x548 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0822003 @0x54C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A022C2 @0x550 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A03FC3 @0x554 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0633002 @0x558 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE59F1050 @0x55C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0C20391 @0x560 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0822003 @0x564 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A012C2 @0x568 (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE1A02FC3 @0x56C (bootmem)
 <--> BUS TRANSACTION: WRITE 0xE0622001 @0x570 (bootmem)
